School,school_norm
Air Force,air force
Akron,akron
Alabama,alabama
Appalachian State,appalachian state
Arizona,arizona
Arizona State,arizona state
Arkansas,arkansas
Arkansas State,arkansas state
Army,army
Auburn,auburn
Ball State,ball state
Baylor,baylor
Boise State,boise state
Boston College,boston college
Bowling Green,bowling green
Buffalo,buffalo
BYU,byu
California,california
Central Michigan,central michigan
Charlotte,charlotte
Cincinnati,cincinnati
Clemson,clemson
Coastal Carolina,coastal carolina
Colorado,colorado
Colorado State,colorado state
Connecticut,connecticut
Delaware,delaware
Duke,duke
East Carolina,east carolina
Eastern Michigan,eastern michigan
Florida,florida
Florida Atlantic,florida atlantic
Florida International,florida international
Florida State,florida state
Fresno State,fresno state
Georgia,georgia
Georgia Southern,georgia southern
Georgia State,georgia state
Georgia Tech,georgia tech
Hawaii,hawaii
Houston,houston
Idaho,idaho
Illinois,illinois
Indiana,indiana
Iowa,iowa
Iowa State,iowa state
Jacksonville State,jacksonville state
James Madison,james madison
Kansas,kansas
Kansas State,kansas state
Kennesaw State,kennesaw state
Kent State,kent state
Kentucky,kentucky
Liberty,liberty
Louisiana,louisiana
Louisiana-Monroe,louisiana monroe
Louisiana Tech,louisiana tech
Louisville,louisville
LSU,lsu
Marshall,marshall
Maryland,maryland
Massachusetts,massachusetts
Memphis,memphis
Miami (FL),miami fl
Miami (OH),miami oh
Michigan,michigan
Michigan State,michigan state
Middle Tennessee State,middle tennessee state
Minnesota,minnesota
Mississippi State,mississippi state
Missouri,missouri
Missouri State,missouri state
Navy,navy
Nebraska,nebraska
Nevada,nevada
Nevada-Las Vegas,nevada las vegas
New Mexico,new mexico
New Mexico State,new mexico state
North Carolina,north carolina
North Carolina State,north carolina state
North Texas,north texas
Northern Illinois,northern illinois
Northwestern,northwestern
Notre Dame,notre dame
Ohio,ohio
Ohio State,ohio state
Oklahoma,oklahoma
Oklahoma State,oklahoma state
Old Dominion,old dominion
Ole Miss,ole miss
Oregon,oregon
Oregon State,oregon state
Penn State,penn state
Pitt,pitt
Purdue,purdue
Rice,rice
Rutgers,rutgers
Sam Houston,sam houston
San Diego State,san diego state
San Jose State,san jose state
SMU,smu
South Alabama,south alabama
South Carolina,south carolina
South Florida,south florida
Southern Mississippi,southern mississippi
Stanford,stanford
Syracuse,syracuse
Temple,temple
Tennessee,tennessee
Texas,texas
Texas A&M,texas a and m
Texas Christian,texas christian
Texas State,texas state
Texas Tech,texas tech
Toledo,toledo
Troy,troy
Tulane,tulane
Tulsa,tulsa
UAB,uab
UCF,ucf
UCLA,ucla
USC,usc
Utah,utah
Utah State,utah state
UTEP,utep
UTSA,utsa
Vanderbilt,vanderbilt
Virginia,virginia
Virginia Tech,virginia tech
Wake Forest,wake forest
Washington,washington
Washington State,washington state
West Virginia,west virginia
Western Kentucky,western kentucky
Western Michigan,western michigan
Wisconsin,wisconsin
Wyoming,wyoming
